order_id,customer_name,product,quantity,price,order_date
1,Selene Paladini,error: undefined method `first' for nil:NilClass,4,957.73,3/25/2025
2,Cherie Yarrington,error: undefined method `first' for nil:NilClass,1,70.33,2/16/2025
3,Wolfgang Izkovitch,error: undefined method `first' for nil:NilClass,3,3970.75,4/18/2025
4,West Sherbrooke,error: undefined method `first' for nil:NilClass,5,3216.16,3/13/2025
5,Lonni Keene,error: undefined method `first' for nil:NilClass,7,3423.24,7/15/2025
6,Brand Hassin,error: undefined method `first' for nil:NilClass,6,723.93,9/6/2025
7,Anatole Giamuzzo,error: undefined method `first' for nil:NilClass,1,4275.68,4/12/2025
8,Carolyn Durbyn,error: undefined method `first' for nil:NilClass,3,604.04,5/31/2025
9,Donnell De Giorgi,error: undefined method `first' for nil:NilClass,8,4868.87,7/26/2025
10,Kalila Kinnerley,error: undefined method `first' for nil:NilClass,6,1825.29,6/4/2025
11,Katina Di Pietro,error: undefined method `first' for nil:NilClass,7,3274.09,11/4/2025
12,Chicky Jeram,error: undefined method `first' for nil:NilClass,10,4800.54,11/7/2025
13,Esta Campaigne,error: undefined method `first' for nil:NilClass,9,4715.15,3/5/2025
14,Tanney Orta,error: undefined method `first' for nil:NilClass,4,2293.51,1/17/2025
15,Erin Billsberry,error: undefined method `first' for nil:NilClass,7,3063.29,4/17/2025
16,Westbrook Tapson,error: undefined method `first' for nil:NilClass,8,4125.59,1/30/2025
17,Robb Scripps,error: undefined method `first' for nil:NilClass,3,1613.57,5/19/2025
18,Verena Phillipps,error: undefined method `first' for nil:NilClass,8,2480.52,6/20/2025
19,Cam Harman,error: undefined method `first' for nil:NilClass,3,2213.43,3/18/2025
20,Murielle Esherwood,error: undefined method `first' for nil:NilClass,8,3432.72,11/2/2025
21,Deanna Tocque,error: undefined method `first' for nil:NilClass,5,3476.95,3/2/2025
22,Lizabeth Sagar,error: undefined method `first' for nil:NilClass,1,3939.59,2/24/2025
23,Wells O'Donoghue,error: undefined method `first' for nil:NilClass,2,1025.47,3/13/2025
24,Jimmy Huc,error: undefined method `first' for nil:NilClass,10,2451.5,4/6/2025
25,Jessika Ferrieri,error: undefined method `first' for nil:NilClass,8,4891.71,7/11/2025
26,Micheline Giovannetti,error: undefined method `first' for nil:NilClass,8,3681.6,1/29/2025
27,Katerina Cuthbertson,error: undefined method `first' for nil:NilClass,6,4592.89,11/10/2025
28,Priscella Bims,error: undefined method `first' for nil:NilClass,8,1585.6,4/18/2025
29,Bertrando Dyter,error: undefined method `first' for nil:NilClass,10,1182.79,2/8/2025
30,Amble Hamelyn,error: undefined method `first' for nil:NilClass,10,2013.23,5/7/2025
31,Boigie Marden,error: undefined method `first' for nil:NilClass,1,1948.06,7/4/2025
32,Alvis Matiashvili,error: undefined method `first' for nil:NilClass,8,2981.53,6/5/2025
33,Kathryne McKennan,error: undefined method `first' for nil:NilClass,4,2812.13,5/29/2025
34,Kyle Mannakee,error: undefined method `first' for nil:NilClass,10,3205.39,11/18/2025
35,Gale Pankethman,error: undefined method `first' for nil:NilClass,6,4808.05,11/22/2025
36,Melisenda Oakey,error: undefined method `first' for nil:NilClass,10,22.96,2/8/2025
37,Skip Matschuk,error: undefined method `first' for nil:NilClass,9,1291.67,4/21/2025
38,Parke Gleave,error: undefined method `first' for nil:NilClass,7,1539.61,2/17/2025
39,Karina Martindale,error: undefined method `first' for nil:NilClass,6,2522.35,1/11/2025
40,Marney Brankley,error: undefined method `first' for nil:NilClass,2,2240.21,5/4/2025
41,Raddie Beggs,error: undefined method `first' for nil:NilClass,9,3804.3,7/30/2025
42,Matias Edon,error: undefined method `first' for nil:NilClass,4,2650.89,1/31/2025
43,Laurena Saffen,error: undefined method `first' for nil:NilClass,1,4612.1,6/24/2025
44,Timotheus Branchett,error: undefined method `first' for nil:NilClass,4,4449.01,4/6/2025
45,Rance Pflieger,error: undefined method `first' for nil:NilClass,4,1890.81,11/28/2025
46,Caren Jorez,error: undefined method `first' for nil:NilClass,5,3633.14,11/1/2025
47,Gabie O'Neal,error: undefined method `first' for nil:NilClass,8,1025.18,6/13/2025
48,Etta Nickels,error: undefined method `first' for nil:NilClass,8,4236.8,6/25/2025
49,Laurence Westley,error: undefined method `first' for nil:NilClass,5,4716.37,12/12/2025
50,Giuseppe Donoghue,error: undefined method `first' for nil:NilClass,4,2358.53,9/2/2025
51,Ronnica Chotty,error: undefined method `first' for nil:NilClass,10,1939.43,11/10/2025
52,Obidiah Leroy,error: undefined method `first' for nil:NilClass,7,2226.77,12/27/2025
53,Junette Cornthwaite,error: undefined method `first' for nil:NilClass,3,655.55,12/25/2025
54,Ulysses Ludgate,error: undefined method `first' for nil:NilClass,3,1471.89,1/15/2025
55,Thain Schuck,error: undefined method `first' for nil:NilClass,1,570.35,4/20/2025
56,Lorena Pond,error: undefined method `first' for nil:NilClass,7,3161.68,9/23/2025
57,Halli Orhtmann,error: undefined method `first' for nil:NilClass,5,962.05,1/10/2025
58,Carr Fontin,error: undefined method `first' for nil:NilClass,3,2855.07,4/1/2025
59,Perrine Norkett,error: undefined method `first' for nil:NilClass,3,4488.3,8/5/2025
60,Jeniffer Corris,error: undefined method `first' for nil:NilClass,7,4269.89,2/28/2025
61,Keven Tripney,error: undefined method `first' for nil:NilClass,5,3644.92,2/2/2025
62,Cleavland MacGiolla,error: undefined method `first' for nil:NilClass,1,4065.25,9/3/2025
63,Vivi Angrove,error: undefined method `first' for nil:NilClass,6,3339.06,6/30/2025
64,Thomasa Calcraft,error: undefined method `first' for nil:NilClass,5,3777.13,3/7/2025
65,Nissy Pickup,error: undefined method `first' for nil:NilClass,10,4693.22,10/9/2025
66,Mellisa Mangeon,error: undefined method `first' for nil:NilClass,5,2059.63,5/26/2025
67,Livy Readett,error: undefined method `first' for nil:NilClass,10,3703.57,4/6/2025
68,Blinny Huckster,error: undefined method `first' for nil:NilClass,2,1508.29,8/17/2025
69,Esma McGinney,error: undefined method `first' for nil:NilClass,1,4703.73,9/24/2025
70,Liesa Swanton,error: undefined method `first' for nil:NilClass,10,2500.69,10/5/2025
71,Nikolas Seedhouse,error: undefined method `first' for nil:NilClass,8,3573.81,4/22/2025
72,Cart Godsil,error: undefined method `first' for nil:NilClass,7,1406.31,8/18/2025
73,Dorothea Ashall,error: undefined method `first' for nil:NilClass,9,3061.71,3/9/2025
74,Joell Kornas,error: undefined method `first' for nil:NilClass,8,1323.28,10/19/2025
75,Alta Budibent,error: undefined method `first' for nil:NilClass,6,2088.03,12/27/2025
76,Nelson Gentry,error: undefined method `first' for nil:NilClass,6,4517.03,9/8/2025
77,Viviana Moir,error: undefined method `first' for nil:NilClass,9,4777.39,4/15/2025
78,Marj Feldmesser,error: undefined method `first' for nil:NilClass,4,3303.63,11/15/2025
79,Lethia Featherstone,error: undefined method `first' for nil:NilClass,4,3590.92,11/7/2025
80,Philippe Charsley,error: undefined method `first' for nil:NilClass,6,434.8,12/9/2025
81,Marne Kyneton,error: undefined method `first' for nil:NilClass,1,2712.12,11/26/2025
82,Timi Fronek,error: undefined method `first' for nil:NilClass,8,3820.61,12/13/2025
83,Rozalin Schukraft,error: undefined method `first' for nil:NilClass,9,406.65,4/29/2025
84,Corilla Walewski,error: undefined method `first' for nil:NilClass,1,4816.34,2/23/2025
85,Rici Dymick,error: undefined method `first' for nil:NilClass,8,1938.14,11/3/2025
86,Olenka Haggard,error: undefined method `first' for nil:NilClass,8,3199.28,5/31/2025
87,Barty Melhuish,error: undefined method `first' for nil:NilClass,10,2824.12,5/9/2025
88,Sheela Attenburrow,error: undefined method `first' for nil:NilClass,6,3562.11,10/23/2025
89,Clarita de Vaen,error: undefined method `first' for nil:NilClass,10,3284.81,2/1/2025
90,Andriana Parcells,error: undefined method `first' for nil:NilClass,2,4050.51,7/3/2025
91,Drusie Neath,error: undefined method `first' for nil:NilClass,5,4771.33,2/9/2025
92,Pernell Sigert,error: undefined method `first' for nil:NilClass,4,2180.68,5/18/2025
93,Jorge Firpi,error: undefined method `first' for nil:NilClass,5,610.81,11/27/2025
94,Natal Blest,error: undefined method `first' for nil:NilClass,9,459.3,7/23/2025
95,Julieta Klimuk,error: undefined method `first' for nil:NilClass,10,2678.41,6/15/2025
96,Vi Gauch,error: undefined method `first' for nil:NilClass,5,1195.45,9/11/2025
97,Lizabeth Millan,error: undefined method `first' for nil:NilClass,1,359.78,12/4/2025
98,Shanan Friskey,error: undefined method `first' for nil:NilClass,6,2797.95,11/1/2025
99,Melinde Golsthorp,error: undefined method `first' for nil:NilClass,6,4653.14,12/3/2025
100,Xenia McCaughen,error: undefined method `first' for nil:NilClass,9,4969.52,11/26/2025
101,Cecilius Alliban,error: undefined method `first' for nil:NilClass,4,2199.1,7/19/2025
102,Judie Cornwall,error: undefined method `first' for nil:NilClass,7,4619.24,7/29/2025
103,Donn Gutman,error: undefined method `first' for nil:NilClass,6,4192.6,1/1/2025
104,Rufe Elderfield,error: undefined method `first' for nil:NilClass,2,1311.89,11/21/2025
105,Helena Slader,error: undefined method `first' for nil:NilClass,7,4188.34,8/5/2025
106,Ozzie Stendall,error: undefined method `first' for nil:NilClass,1,3443.85,11/18/2025
107,Pren Spelman,error: undefined method `first' for nil:NilClass,7,3786.83,5/7/2025
108,Eward Eingerfield,error: undefined method `first' for nil:NilClass,10,4011.77,4/14/2025
109,Tomaso Christopher,error: undefined method `first' for nil:NilClass,6,1481.69,4/10/2025
110,Maurizio Suttaby,error: undefined method `first' for nil:NilClass,7,2656.56,3/21/2025
111,Carson Crossgrove,error: undefined method `first' for nil:NilClass,6,309.6,6/5/2025
112,Doralyn Brachell,error: undefined method `first' for nil:NilClass,1,261.55,7/18/2025
113,Eolanda Sigars,error: undefined method `first' for nil:NilClass,6,2923.29,5/26/2025
114,Shela Yerlett,error: undefined method `first' for nil:NilClass,1,4277.61,10/17/2025
115,Pierre Abbess,error: undefined method `first' for nil:NilClass,10,4479.33,11/25/2025
116,Orella Titmarsh,error: undefined method `first' for nil:NilClass,10,4506.54,6/27/2025
117,Cosme Card,error: undefined method `first' for nil:NilClass,8,2914.87,5/10/2025
118,Fallon Ickovic,error: undefined method `first' for nil:NilClass,3,1635.06,11/17/2025
119,Emmit Tivenan,error: undefined method `first' for nil:NilClass,8,3138.68,12/6/2025
120,Eugine Stanhope,error: undefined method `first' for nil:NilClass,2,4659.54,7/22/2025
121,Coleman Atthow,error: undefined method `first' for nil:NilClass,7,1818.06,6/6/2025
122,Marice Vallentin,error: undefined method `first' for nil:NilClass,4,4539.06,6/17/2025
123,Marcile Doman,error: undefined method `first' for nil:NilClass,1,1908.63,1/6/2025
124,Martainn Matthieson,error: undefined method `first' for nil:NilClass,3,3137.81,3/6/2025
125,Daloris Clack,error: undefined method `first' for nil:NilClass,1,756.01,11/29/2025
126,Shaine Stonner,error: undefined method `first' for nil:NilClass,8,1844.17,3/2/2025
127,Winifred Murty,error: undefined method `first' for nil:NilClass,1,227.9,8/17/2025
128,Selie Le Houx,error: undefined method `first' for nil:NilClass,1,3082.56,11/19/2025
129,Briggs Port,error: undefined method `first' for nil:NilClass,1,4306.42,8/25/2025
130,Holmes Muris,error: undefined method `first' for nil:NilClass,6,3264.02,3/11/2025
131,Minette Potell,error: undefined method `first' for nil:NilClass,5,675.61,5/25/2025
132,Donnajean Lechmere,error: undefined method `first' for nil:NilClass,10,1005.24,5/17/2025
133,Bevan Ilewicz,error: undefined method `first' for nil:NilClass,1,2052.39,2/24/2025
134,Cinda Northwood,error: undefined method `first' for nil:NilClass,7,3590.31,10/24/2025
135,Claude Hellewell,error: undefined method `first' for nil:NilClass,3,1867.99,3/30/2025
136,Cash Geist,error: undefined method `first' for nil:NilClass,8,2175.35,5/6/2025
137,Sonni Donohoe,error: undefined method `first' for nil:NilClass,10,4711.79,6/9/2025
138,Chaddie Twiddle,error: undefined method `first' for nil:NilClass,1,4634.1,1/19/2025
139,Cissiee Kaes,error: undefined method `first' for nil:NilClass,2,3290.83,9/30/2025
140,Fidel Ivanovic,error: undefined method `first' for nil:NilClass,4,3266.87,5/10/2025
141,Peria Tatchell,error: undefined method `first' for nil:NilClass,3,2873.0,6/30/2025
142,Ddene Pulfer,error: undefined method `first' for nil:NilClass,9,1289.03,12/9/2025
143,Verne D'Adamo,error: undefined method `first' for nil:NilClass,3,2530.86,4/13/2025
144,Hana Turk,error: undefined method `first' for nil:NilClass,3,2346.14,8/9/2025
145,Quintina Killerby,error: undefined method `first' for nil:NilClass,9,2879.28,5/16/2025
146,Nellie Drewery,error: undefined method `first' for nil:NilClass,2,4381.56,1/27/2025
147,Georgie Swedeland,error: undefined method `first' for nil:NilClass,4,3534.3,1/20/2025
148,Lannie Fenning,error: undefined method `first' for nil:NilClass,4,1958.93,9/15/2025
149,Octavia Stopp,error: undefined method `first' for nil:NilClass,9,201.4,9/25/2025
150,Hervey Beer,error: undefined method `first' for nil:NilClass,5,4551.68,7/1/2025
151,Frasier Shirt,error: undefined method `first' for nil:NilClass,5,3709.9,4/8/2025
152,Hollis Moggle,error: undefined method `first' for nil:NilClass,3,126.61,10/20/2025
153,Tirrell de Juares,error: undefined method `first' for nil:NilClass,1,1429.3,3/14/2025
154,Elena Elce,error: undefined method `first' for nil:NilClass,2,920.93,10/19/2025
155,Aurilia Giveen,error: undefined method `first' for nil:NilClass,6,1624.61,6/11/2025
156,Cami O'Caherny,error: undefined method `first' for nil:NilClass,10,2631.45,11/30/2025
157,Essa Terrett,error: undefined method `first' for nil:NilClass,9,1931.0,3/27/2025
158,Hynda Sybbe,error: undefined method `first' for nil:NilClass,6,4368.18,9/27/2025
159,Courtnay Baltzar,error: undefined method `first' for nil:NilClass,7,2245.13,8/19/2025
160,Maddalena Monck,error: undefined method `first' for nil:NilClass,8,2963.97,9/2/2025
161,Rubia Beniesh,error: undefined method `first' for nil:NilClass,7,2243.33,7/25/2025
162,Janelle Traite,error: undefined method `first' for nil:NilClass,4,2218.45,2/24/2025
163,Nellie Twittey,error: undefined method `first' for nil:NilClass,3,3274.45,1/30/2025
164,Crin Kisting,error: undefined method `first' for nil:NilClass,2,2473.08,10/10/2025
165,Lyle Henrion,error: undefined method `first' for nil:NilClass,5,240.64,3/24/2025
166,Wendi McCloughen,error: undefined method `first' for nil:NilClass,7,4153.73,10/7/2025
167,Ive Carreck,error: undefined method `first' for nil:NilClass,5,4410.96,9/24/2025
168,Daphene Plastow,error: undefined method `first' for nil:NilClass,4,1233.46,8/6/2025
169,Melodee Donnersberg,error: undefined method `first' for nil:NilClass,5,741.71,9/29/2025
